transaction_id,transaction_date,customer_id,customer_segment,account_type,transaction_type,category,channel,amount,city
TXN000031,2025-05-04,CUST0004,Mass Market,Current,Deposit,Healthcare,Online,399.62,Cape Town
TXN000032,2025-12-07,CUST0498,Mass Market,Savings,Purchase,Education,ATM,91.72,Johannesburg
TXN000033,2025-02-04,CUST0159,Affluent,Savings,Deposit,Education,Branch,555.42,Durban
TXN000034,2025-09-17,CUST0005,Mass Market,Savings,Deposit,Groceries,Mobile,2523.32,Cape Town
TXN000035,2025-08-29,CUST0472,Mass Market,Current,Purchase,Healthcare,ATM,57.6,Pretoria
TXN000036,2025-05-10,CUST0028,Affluent,Current,Purchase,Shopping,Card,189.34,Port Elizabeth
TXN000037,2025-06-26,CUST0102,Affluent,Savings,Transfer,Transport,Branch,579.71,Port Elizabeth
TXN000038,2025-06-20,CUST0433,Mass Market,Current,Transfer,Groceries,ATM,568.62,Port Elizabeth
TXN000039,2025-10-07,CUST0428,Affluent,Credit,Payment,Dining,Mobile,200.64,Pretoria
TXN000040,2025-12-23,CUST0387,Mass Market,Current,Withdrawal,Dining,Online,109.61,Stellenbosch
TXN000041,2025-02-02,CUST0351,Affluent,Current,Withdrawal,Groceries,ATM,78.72,Pretoria
TXN000042,2025-04-14,CUST0106,Mass Market,Current,Purchase,Entertainment,Card,46.07,Stellenbosch
TXN000043,2025-06-11,CUST0095,Mass Market,Savings,Payment,Education,Mobile,123.63,Pretoria
TXN000044,2025-10-06,CUST0253,Premium,Current,Withdrawal,Utilities,Card,173.05,Stellenbosch
TXN000045,2025-11-28,CUST0478,Mass Market,Credit,Transfer,Utilities,ATM,507.62,Durban
TXN000046,2025-01-25,CUST0442,Mass Market,Credit,Payment,Utilities,Card,119.82,Cape Town
TXN000047,2025-07-08,CUST0084,Mass Market,Credit,Withdrawal,Healthcare,Mobile,55.7,Stellenbosch
TXN000048,2025-07-17,CUST0373,Mass Market,Savings,Payment,Dining,Mobile,173.66,Johannesburg
TXN000049,2025-12-21,CUST0103,Mass Market,Savings,Withdrawal,Shopping,Branch,71.49,Stellenbosch
TXN000050,2025-05-17,CUST0449,Mass Market,Current,Purchase,Healthcare,Card,57.34,Cape Town
TXN000051,2025-08-09,CUST0068,Affluent,Current,Deposit,Dining,Branch,1014.6,Durban
TXN000052,2025-05-31,CUST0466,Mass Market,Credit,Payment,Transport,Card,89.23,Stellenbosch
TXN000053,2025-06-17,CUST0361,Mass Market,Current,Payment,Utilities,Mobile,90.4,Pretoria
TXN000054,2025-11-05,CUST0477,Affluent,Current,Withdrawal,Dining,Mobile,62.61,Durban
TXN000055,2025-06-29,CUST0113,Mass Market,Savings,Withdrawal,Groceries,ATM,80.86,Stellenbosch
TXN000056,2025-11-11,CUST0476,Affluent,Current,Withdrawal,Utilities,Card,118.58,Stellenbosch
TXN000057,2025-02-08,CUST0364,Mass Market,Current,Withdrawal,Shopping,Branch,21.58,Cape Town
TXN000058,2025-12-14,CUST0464,Mass Market,Credit,Transfer,Groceries,Online,320.03,Port Elizabeth
TXN000059,2025-11-08,CUST0071,Mass Market,Current,Withdrawal,Groceries,Online,93.05,Cape Town
TXN000060,2025-02-04,CUST0466,Mass Market,Credit,Transfer,Shopping,ATM,755.9,Stellenbosch
TXN000061,2025-07-16,CUST0451,Mass Market,Savings,Deposit,Groceries,Branch,3964.75,Pretoria
TXN000062,2025-03-20,CUST0163,Affluent,Savings,Withdrawal,Shopping,ATM,75.47,Cape Town
TXN000063,2025-08-16,CUST0320,Affluent,Savings,Purchase,Subscriptions,Online,66.65,Durban
TXN000064,2025-09-29,CUST0426,Affluent,Savings,Payment,Healthcare,ATM,115.86,Port Elizabeth
TXN000065,2025-11-29,CUST0415,Affluent,Savings,Payment,Entertainment,Card,100.92,Stellenbosch
TXN000066,2025-01-14,CUST0148,Affluent,Credit,Transfer,Travel,Branch,785.32,Stellenbosch
TXN000067,2025-07-18,CUST0356,Premium,Current,Deposit,Transport,ATM,440.75,Pretoria
TXN000068,2025-05-14,CUST0007,Mass Market,Current,Withdrawal,Entertainment,Branch,141.92,Stellenbosch
TXN000069,2025-05-27,CUST0277,Mass Market,Savings,Withdrawal,Entertainment,Card,158.16,Port Elizabeth
TXN000070,2025-03-11,CUST0160,Mass Market,Savings,Purchase,Travel,Online,69.94,Johannesburg
TXN000071,2025-08-16,CUST0065,Mass Market,Credit,Purchase,Shopping,ATM,13.68,Stellenbosch
TXN000072,2025-12-30,CUST0230,Mass Market,Current,Purchase,Education,Branch,12.78,Port Elizabeth
TXN000073,2025-05-29,CUST0312,Mass Market,Credit,Payment,Dining,Online,209.31,Pretoria
TXN000074,2025-07-05,CUST0364,Mass Market,Current,Deposit,Entertainment,Card,596.6,Cape Town
TXN000075,2025-04-13,CUST0250,Mass Market,Current,Transfer,Entertainment,Mobile,503.73,Stellenbosch
TXN000076,2025-01-14,CUST0297,Premium,Current,Payment,Education,Branch,115.8,Stellenbosch
TXN000077,2025-07-08,CUST0192,Mass Market,Current,Withdrawal,Education,Online,92.67,Pretoria
TXN000078,2025-11-10,CUST0318,Mass Market,Current,Purchase,Transport,ATM,22.18,Port Elizabeth
TXN000079,2025-07-23,CUST0037,Mass Market,Savings,Withdrawal,Education,Mobile,100.79,Durban
TXN000080,2025-07-29,CUST0433,Mass Market,Current,Deposit,Transport,Online,230.85,Port Elizabeth
TXN000081,2025-06-12,CUST0381,Premium,Savings,Purchase,Travel,Mobile,39.16,Cape Town
TXN000082,2025-12-15,CUST0340,Mass Market,Savings,Deposit,Shopping,Online,778.19,Cape Town
TXN000083,2025-10-10,CUST0457,Affluent,Savings,Deposit,Dining,Online,556.07,Johannesburg
TXN000084,2025-08-10,CUST0270,Mass Market,Current,Deposit,Groceries,Card,1124.65,Stellenbosch
TXN000085,2025-09-23,CUST0045,Mass Market,Savings,Transfer,Utilities,Online,394.15,Stellenbosch
TXN000086,2025-03-24,CUST0103,Mass Market,Savings,Payment,Entertainment,ATM,85.88,Stellenbosch
TXN000087,2025-09-23,CUST0412,Premium,Savings,Payment,Transport,ATM,64.15,Durban
TXN000088,2025-04-11,CUST0394,Mass Market,Current,Deposit,Utilities,Online,107.37,Durban
TXN000089,2025-11-17,CUST0402,Mass Market,Current,Payment,Subscriptions,Branch,239.5,Johannesburg
TXN000090,2025-02-17,CUST0200,Mass Market,Current,Deposit,Dining,Branch,4188.19,Cape Town
TXN000091,2025-10-25,CUST0315,Affluent,Current,Transfer,Dining,Branch,279.52,Port Elizabeth
TXN000092,2025-11-06,CUST0420,Mass Market,Savings,Payment,Subscriptions,Card,101.32,Johannesburg
TXN000093,2025-01-15,CUST0491,Premium,Savings,Purchase,Groceries,Branch,62.84,Durban
TXN000094,2025-05-16,CUST0403,Mass Market,Savings,Transfer,Subscriptions,Mobile,399.44,Stellenbosch
TXN000095,2025-11-13,CUST0226,Mass Market,Savings,Purchase,Travel,Branch,38.03,Johannesburg
TXN000096,2025-05-29,CUST0209,Mass Market,Savings,Payment,Travel,Online,132.07,Port Elizabeth
TXN000097,2025-12-17,CUST0094,Affluent,Current,Withdrawal,Utilities,Mobile,62.51,Pretoria
TXN000098,2025-02-07,CUST0146,Mass Market,Current,Purchase,Dining,Mobile,39.18,Johannesburg
TXN000099,2025-08-01,CUST0135,Mass Market,Credit,Withdrawal,Travel,Online,68.65,Cape Town
TXN000100,2025-06-24,CUST0022,Mass Market,Savings,Deposit,Dining,ATM,506.36,Stellenbosch
TXN000101,2025-06-13,CUST0235,Mass Market,Savings,Payment,Healthcare,Online,264.42,Pretoria
TXN000102,2025-07-09,CUST0275,Affluent,Savings,Deposit,Education,Card,373.85,Johannesburg
TXN000103,2025-06-13,CUST0460,Premium,Current,Transfer,Travel,Card,722.38,Port Elizabeth
TXN000104,2025-05-17,CUST0199,Mass Market,Current,Withdrawal,Entertainment,Online,144.0,Johannesburg
TXN000105,2025-02-19,CUST0458,Mass Market,Current,Purchase,Utilities,Mobile,111.01,Stellenbosch
TXN000106,2025-11-12,CUST0217,Mass Market,Savings,Withdrawal,Entertainment,Online,139.12,Stellenbosch
TXN000107,2025-06-17,CUST0200,Mass Market,Current,Deposit,Shopping,Online,1063.45,Cape Town
TXN000108,2025-03-23,CUST0211,Affluent,Current,Withdrawal,Education,Mobile,97.6,Durban
TXN000109,2025-09-13,CUST0100,Affluent,Savings,Payment,Travel,Card,240.62,Pretoria
TXN000110,2025-02-16,CUST0143,Premium,Savings,Withdrawal,Education,Mobile,65.33,Port Elizabeth
TXN000111,2025-05-04,CUST0180,Mass Market,Current,Transfer,Subscriptions,ATM,464.19,Stellenbosch
TXN000112,2025-01-25,CUST0236,Mass Market,Savings,Purchase,Utilities,Mobile,47.96,Port Elizabeth
TXN000113,2025-11-02,CUST0106,Mass Market,Current,Withdrawal,Utilities,Branch,98.57,Stellenbosch
TXN000114,2025-01-05,CUST0237,Mass Market,Current,Purchase,Healthcare,Online,33.03,Durban
TXN000115,2025-05-16,CUST0372,Premium,Savings,Payment,Healthcare,ATM,72.09,Stellenbosch
TXN000116,2025-01-24,CUST0013,Mass Market,Current,Withdrawal,Groceries,Branch,132.79,Durban
TXN000117,2025-10-15,CUST0299,Mass Market,Savings,Transfer,Shopping,Branch,483.5,Cape Town
TXN000118,2025-05-28,CUST0104,Mass Market,Savings,Purchase,Healthcare,Branch,44.64,Johannesburg
TXN000119,2025-08-19,CUST0195,Mass Market,Current,Deposit,Utilities,Branch,447.76,Cape Town
TXN000120,2025-12-15,CUST0012,Affluent,Savings,Deposit,Transport,Online,1219.51,Port Elizabeth
TXN000121,2025-02-19,CUST0288,Mass Market,Current,Withdrawal,Shopping,ATM,111.22,Pretoria
TXN000122,2025-10-13,CUST0081,Premium,Savings,Payment,Dining,Online,196.46,Pretoria
TXN000123,2025-11-05,CUST0286,Mass Market,Current,Deposit,Healthcare,Branch,413.12,Stellenbosch
TXN000124,2025-01-21,CUST0328,Mass Market,Current,Purchase,Groceries,Online,35.26,Durban
TXN000125,2025-06-20,CUST0393,Mass Market,Savings,Withdrawal,Education,Mobile,168.31,Stellenbosch
TXN000126,2025-03-18,CUST0084,Mass Market,Credit,Deposit,Education,Online,1150.41,Stellenbosch
TXN000127,2025-06-17,CUST0165,Mass Market,Current,Deposit,Shopping,Online,238.39,Johannesburg
TXN000128,2025-07-21,CUST0310,Mass Market,Savings,Deposit,Utilities,Branch,366.9,Port Elizabeth
TXN000129,2025-06-22,CUST0348,Affluent,Current,Deposit,Education,Branch,576.74,Cape Town
TXN000130,2025-09-08,CUST0011,Mass Market,Current,Deposit,Utilities,Mobile,366.53,Pretoria
TXN000131,2025-01-09,CUST0230,Mass Market,Current,Payment,Shopping,Card,274.21,Port Elizabeth
TXN000132,2025-08-02,CUST0420,Mass Market,Savings,Deposit,Utilities,Card,565.48,Johannesburg
TXN000133,2025-11-02,CUST0396,Mass Market,Current,Withdrawal,Utilities,Branch,69.57,Stellenbosch
TXN000134,2025-10-23,CUST0172,Mass Market,Savings,Transfer,Groceries,Branch,489.28,Port Elizabeth
TXN000135,2025-09-03,CUST0045,Mass Market,Savings,Transfer,Education,Branch,549.19,Stellenbosch
TXN000136,2025-07-14,CUST0049,Mass Market,Credit,Transfer,Entertainment,Card,475.53,Pretoria
TXN000137,2025-10-21,CUST0268,Mass Market,Current,Purchase,Entertainment,Card,61.92,Pretoria
TXN000138,2025-08-14,CUST0285,Affluent,Current,Payment,Healthcare,Online,106.15,Stellenbosch
TXN000139,2025-07-31,CUST0372,Premium,Savings,Transfer,Healthcare,Branch,1067.25,Stellenbosch
TXN000140,2025-11-10,CUST0119,Affluent,Current,Withdrawal,Groceries,Online,165.97,Stellenbosch
TXN000141,2025-09-23,CUST0115,Premium,Savings,Transfer,Education,ATM,80.73,Pretoria
TXN000142,2025-12-06,CUST0056,Premium,Savings,Withdrawal,Education,Mobile,96.31,Port Elizabeth
TXN000143,2025-06-10,CUST0300,Mass Market,Savings,Transfer,Travel,Branch,384.98,Durban
TXN000144,2025-06-25,CUST0495,Premium,Credit,Deposit,Shopping,ATM,2812.29,Cape Town
TXN000145,2025-11-09,CUST0372,Premium,Savings,Withdrawal,Entertainment,Online,105.71,Stellenbosch
TXN000146,2025-05-23,CUST0407,Affluent,Savings,Deposit,Utilities,Online,636.28,Stellenbosch
TXN000147,2025-06-02,CUST0219,Mass Market,Current,Payment,Entertainment,Mobile,200.63,Johannesburg
TXN000148,2025-06-12,CUST0153,Affluent,Credit,Withdrawal,Shopping,Branch,35.34,Port Elizabeth
TXN000149,2025-05-21,CUST0058,Affluent,Current,Payment,Transport,Branch,130.25,Stellenbosch
TXN000150,2025-12-13,CUST0409,Affluent,Current,Deposit,Healthcare,Mobile,294.69,Durban
TXN000151,2025-06-26,CUST0494,Affluent,Savings,Transfer,Utilities,Card,152.74,Port Elizabeth
TXN000152,2025-05-28,CUST0122,Affluent,Credit,Purchase,Shopping,Mobile,104.63,Johannesburg
TXN000153,2025-12-02,CUST0206,Mass Market,Credit,Payment,Travel,Online,105.24,Durban
TXN000154,2025-04-14,CUST0025,Mass Market,Savings,Deposit,Utilities,Branch,313.75,Cape Town
TXN000155,2025-12-23,CUST0451,Mass Market,Savings,Payment,Dining,Card,243.32,Pretoria
TXN000156,2025-11-12,CUST0032,Mass Market,Savings,Deposit,Entertainment,Online,982.92,Durban
TXN000157,2025-01-26,CUST0450,Affluent,Savings,Deposit,Entertainment,Online,766.49,Stellenbosch
TXN000158,2025-01-27,CUST0121,Affluent,Credit,Purchase,Healthcare,ATM,283.69,Johannesburg
TXN000159,2025-08-30,CUST0329,Mass Market,Savings,Purchase,Dining,Card,78.33,Johannesburg
TXN000160,2025-10-09,CUST0470,Mass Market,Current,Transfer,Healthcare,Mobile,96.53,Cape Town
TXN000161,2025-09-02,CUST0331,Affluent,Current,Transfer,Utilities,ATM,1792.01,Stellenbosch
TXN000162,2025-05-27,CUST0153,Affluent,Credit,Purchase,Transport,Branch,40.23,Port Elizabeth
TXN000163,2025-04-29,CUST0474,Affluent,Savings,Deposit,Groceries,Online,419.31,Durban
TXN000164,2025-08-02,CUST0471,Mass Market,Current,Transfer,Groceries,Mobile,333.56,Durban
TXN000165,2025-09-11,CUST0069,Mass Market,Savings,Transfer,Utilities,Card,2987.89,Port Elizabeth
TXN000166,2025-01-05,CUST0450,Affluent,Savings,Payment,Subscriptions,Branch,103.67,Stellenbosch
TXN000167,2025-02-24,CUST0142,Mass Market,Current,Payment,Utilities,Mobile,216.39,Port Elizabeth
TXN000168,2025-11-25,CUST0073,Mass Market,Current,Deposit,Education,Mobile,851.94,Durban
TXN000169,2025-03-10,CUST0325,Affluent,Current,Deposit,Travel,ATM,396.03,Port Elizabeth
TXN000170,2025-04-09,CUST0143,Premium,Savings,Purchase,Shopping,Online,204.17,Port Elizabeth
TXN000171,2025-08-23,CUST0267,Mass Market,Savings,Payment,Dining,Card,154.38,Pretoria
TXN000172,2025-06-22,CUST0016,Mass Market,Current,Payment,Subscriptions,Online,127.68,Port Elizabeth
TXN000173,2025-03-31,CUST0497,Mass Market,Current,Deposit,Healthcare,Mobile,267.57,Johannesburg
TXN000174,2025-09-21,CUST0129,Mass Market,Savings,Payment,Transport,Mobile,96.38,Johannesburg
TXN000175,2025-12-09,CUST0169,Affluent,Savings,Purchase,Dining,Online,22.84,Stellenbosch
TXN000176,2025-09-02,CUST0049,Mass Market,Credit,Payment,Entertainment,Card,300.7,Pretoria
TXN000177,2025-05-14,CUST0419,Mass Market,Current,Withdrawal,Entertainment,Mobile,139.06,Pretoria
TXN000178,2025-05-17,CUST0251,Affluent,Savings,Payment,Utilities,Branch,264.4,Stellenbosch
TXN000179,2025-10-21,CUST0267,Mass Market,Savings,Purchase,Utilities,ATM,13.38,Pretoria
TXN000180,2025-12-21,CUST0234,Affluent,Current,Transfer,Groceries,Card,1967.45,Pretoria
TXN000181,2025-08-27,CUST0462,Mass Market,Current,Payment,Dining,Mobile,238.41,Johannesburg
TXN000182,2025-12-18,CUST0078,Mass Market,Current,Deposit,Utilities,Card,1221.69,Johannesburg
TXN000183,2025-11-24,CUST0462,Mass Market,Current,Payment,Shopping,Branch,105.01,Johannesburg
TXN000184,2025-04-24,CUST0146,Mass Market,Current,Transfer,Dining,Mobile,589.27,Johannesburg
TXN000185,2025-03-20,CUST0091,Mass Market,Savings,Withdrawal,Subscriptions,ATM,192.91,Stellenbosch
TXN000186,2025-08-01,CUST0254,Premium,Current,Deposit,Travel,Branch,193.75,Stellenbosch
TXN000187,2025-12-07,CUST0361,Mass Market,Current,Transfer,Entertainment,Branch,176.53,Pretoria
TXN000188,2025-02-11,CUST0186,Mass Market,Current,Deposit,Travel,Branch,2467.89,Pretoria
TXN000189,2025-12-27,CUST0353,Mass Market,Savings,Payment,Transport,Branch,299.43,Pretoria
TXN000190,2025-02-27,CUST0383,Premium,Current,Purchase,Education,Branch,59.23,Pretoria
TXN000191,2025-04-14,CUST0162,Mass Market,Savings,Deposit,Education,Online,160.8,Cape Town
TXN000192,2025-03-26,CUST0201,Mass Market,Current,Payment,Education,Mobile,92.44,Port Elizabeth
TXN000193,2025-03-01,CUST0224,Mass Market,Current,Transfer,Subscriptions,Mobile,141.63,Pretoria
TXN000194,2025-02-16,CUST0315,Affluent,Current,Deposit,Travel,Card,479.0,Port Elizabeth
TXN000195,2025-08-21,CUST0061,Mass Market,Current,Transfer,Education,Mobile,75.49,Port Elizabeth
TXN000196,2025-08-22,CUST0252,Mass Market,Savings,Deposit,Groceries,Branch,1242.77,Durban
TXN000197,2025-08-25,CUST0207,Mass Market,Savings,Payment,Groceries,Mobile,164.51,Cape Town
TXN000198,2025-05-11,CUST0050,Mass Market,Current,Purchase,Entertainment,Branch,48.15,Stellenbosch
TXN000199,2025-02-07,CUST0160,Mass Market,Savings,Purchase,Healthcare,ATM,74.38,Johannesburg
TXN000200,2025-12-25,CUST0271,Mass Market,Current,Purchase,Education,Card,197.25,Pretoria
TXN000201,2025-02-05,CUST0197,Mass Market,Current,Withdrawal,Groceries,ATM,41.87,Port Elizabeth
TXN000202,2025-07-29,CUST0108,Affluent,Current,Transfer,Dining,Mobile,219.22,Durban
TXN000203,2025-07-11,CUST0232,Mass Market,Savings,Withdrawal,Travel,Mobile,52.01,Durban
TXN000204,2025-07-12,CUST0419,Mass Market,Current,Purchase,Education,Online,22.74,Pretoria
TXN000205,2025-12-01,CUST0467,Affluent,Credit,Payment,Transport,Online,380.51,Pretoria
TXN000206,2025-10-03,CUST0393,Mass Market,Savings,Withdrawal,Education,Online,96.59,Stellenbosch
TXN000207,2025-04-25,CUST0025,Mass Market,Savings,Purchase,Groceries,ATM,29.36,Cape Town
TXN000208,2025-08-26,CUST0472,Mass Market,Current,Deposit,Healthcare,Branch,288.55,Pretoria
TXN000209,2025-07-14,CUST0297,Premium,Current,Transfer,Entertainment,Mobile,187.57,Stellenbosch
TXN000210,2025-06-27,CUST0270,Mass Market,Current,Transfer,Utilities,Online,182.78,Stellenbosch
TXN000211,2025-02-27,CUST0469,Mass Market,Current,Purchase,Healthcare,Branch,50.23,Port Elizabeth
TXN000212,2025-01-09,CUST0167,Affluent,Savings,Transfer,Entertainment,Card,842.52,Stellenbosch
TXN000213,2025-02-21,CUST0262,Affluent,Credit,Deposit,Groceries,Mobile,2600.05,Port Elizabeth
TXN000214,2025-11-03,CUST0187,Affluent,Savings,Purchase,Entertainment,Card,73.36,Port Elizabeth
TXN000215,2025-07-25,CUST0387,Mass Market,Current,Withdrawal,Entertainment,Branch,93.84,Stellenbosch
TXN000216,2025-04-22,CUST0268,Mass Market,Current,Purchase,Dining,Branch,66.2,Pretoria
TXN000217,2025-05-29,CUST0325,Affluent,Current,Transfer,Subscriptions,ATM,344.82,Port Elizabeth
TXN000218,2025-10-23,CUST0355,Mass Market,Savings,Deposit,Shopping,Online,109.49,Durban
TXN000219,2025-06-04,CUST0100,Affluent,Savings,Transfer,Education,Online,357.59,Pretoria
TXN000220,2025-07-31,CUST0132,Mass Market,Savings,Payment,Utilities,Card,98.95,Port Elizabeth
TXN000221,2025-10-13,CUST0251,Affluent,Savings,Deposit,Dining,Mobile,1660.34,Stellenbosch
TXN000222,2025-10-12,CUST0420,Mass Market,Savings,Withdrawal,Groceries,ATM,47.84,Johannesburg
TXN000223,2025-11-26,CUST0422,Mass Market,Savings,Withdrawal,Education,ATM,228.17,Cape Town
TXN000224,2025-12-23,CUST0034,Mass Market,Current,Withdrawal,Healthcare,Online,127.54,Cape Town
TXN000225,2025-06-03,CUST0018,Affluent,Savings,Withdrawal,Dining,Branch,72.32,Durban
TXN000226,2025-08-31,CUST0478,Mass Market,Credit,Transfer,Entertainment,ATM,293.52,Durban
TXN000227,2025-12-29,CUST0047,Mass Market,Savings,Transfer,Travel,Card,333.29,Stellenbosch
TXN000228,2025-10-15,CUST0298,Mass Market,Current,Withdrawal,Healthcare,Branch,76.19,Stellenbosch
TXN000229,2025-09-29,CUST0474,Affluent,Savings,Transfer,Healthcare,Online,185.25,Durban
TXN000230,2025-05-11,CUST0379,Premium,Savings,Transfer,Shopping,Card,213.84,Cape Town
TXN000231,2025-08-19,CUST0274,Mass Market,Current,Payment,Transport,Branch,323.87,Port Elizabeth
TXN000232,2025-04-08,CUST0267,Mass Market,Savings,Purchase,Utilities,Mobile,53.39,Pretoria
TXN000233,2025-12-11,CUST0381,Premium,Savings,Deposit,Subscriptions,Card,1336.76,Cape Town
TXN000234,2025-02-07,CUST0289,Mass Market,Credit,Transfer,Subscriptions,Branch,640.97,Durban
TXN000235,2025-04-22,CUST0393,Mass Market,Savings,Withdrawal,Entertainment,ATM,173.8,Stellenbosch
TXN000236,2025-06-05,CUST0413,Mass Market,Savings,Purchase,Entertainment,Online,72.24,Cape Town
TXN000237,2025-03-02,CUST0488,Affluent,Credit,Withdrawal,Entertainment,Branch,45.24,Stellenbosch
TXN000238,2025-12-27,CUST0434,Mass Market,Credit,Transfer,Healthcare,Online,957.38,Stellenbosch
TXN000239,2025-10-10,CUST0312,Mass Market,Credit,Payment,Utilities,Mobile,169.73,Pretoria
TXN000240,2025-08-27,CUST0249,Mass Market,Savings,Deposit,Shopping,ATM,1630.55,Pretoria
TXN000241,2025-05-14,CUST0048,Premium,Savings,Payment,Education,Mobile,248.13,Durban
TXN000242,2025-08-27,CUST0346,Mass Market,Current,Purchase,Travel,ATM,78.93,Pretoria
TXN000243,2025-04-15,CUST0217,Mass Market,Savings,Payment,Shopping,Mobile,52.27,Stellenbosch
TXN000244,2025-01-24,CUST0030,Mass Market,Current,Deposit,Entertainment,Online,2743.43,Johannesburg
TXN000245,2025-01-09,CUST0291,Premium,Savings,Payment,Education,Branch,325.67,Johannesburg
TXN000246,2025-10-24,CUST0331,Affluent,Current,Withdrawal,Utilities,Online,45.24,Stellenbosch
TXN000247,2025-04-11,CUST0308,Mass Market,Savings,Payment,Entertainment,Mobile,277.25,Cape Town
TXN000248,2025-10-19,CUST0118,Affluent,Current,Transfer,Travel,Branch,274.86,Johannesburg
TXN000249,2025-12-02,CUST0254,Premium,Current,Payment,Utilities,Mobile,176.57,Stellenbosch
TXN000250,2025-11-25,CUST0191,Affluent,Current,Withdrawal,Travel,Online,75.62,Durban
TXN000251,2025-06-30,CUST0162,Mass Market,Savings,Transfer,Dining,Branch,876.59,Cape Town
TXN000252,2025-09-08,CUST0298,Mass Market,Current,Transfer,Education,Card,115.24,Stellenbosch
TXN000253,2025-09-26,CUST0151,Affluent,Current,Purchase,Transport,Card,28.36,Durban
TXN000254,2025-01-04,CUST0097,Mass Market,Savings,Withdrawal,Dining,Online,77.44,Stellenbosch
TXN000255,2025-02-04,CUST0157,Mass Market,Savings,Transfer,Groceries,Online,293.09,Johannesburg
TXN000256,2025-09-16,CUST0143,Premium,Savings,Withdrawal,Shopping,Card,111.31,Port Elizabeth
TXN000257,2025-11-13,CUST0235,Mass Market,Savings,Deposit,Travel,Mobile,7240.49,Pretoria
TXN000258,2025-01-09,CUST0477,Affluent,Current,Purchase,Education,Branch,32.39,Durban
TXN000259,2025-07-30,CUST0388,Mass Market,Savings,Purchase,Groceries,Branch,39.42,Johannesburg
TXN000260,2025-05-21,CUST0260,Mass Market,Current,Deposit,Utilities,Card,1321.44,Port Elizabeth
TXN000261,2025-09-15,CUST0379,Premium,Savings,Withdrawal,Dining,Card,39.88,Cape Town
TXN000262,2025-02-19,CUST0056,Premium,Savings,Deposit,Dining,Online,468.75,Port Elizabeth
TXN000263,2025-04-09,CUST0255,Mass Market,Credit,Deposit,Education,ATM,1491.15,Cape Town
