transaction_id,transaction_date,customer_id,customer_segment,account_type,transaction_type,category,channel,amount,city,year,month,month_name,year_month
TXN000016,2025-06-28,CUST0478,Mass Market,Credit,Purchase,Healthcare,Card,71.9,Durban,2025,6,June,2025-06
TXN000017,2025-07-22,CUST0071,Mass Market,Current,Deposit,Shopping,Online,132.67,Cape Town,2025,7,July,2025-07
TXN000018,2025-07-17,CUST0202,Mass Market,Current,Purchase,Shopping,Online,34.51,Stellenbosch,2025,7,July,2025-07
TXN000019,2025-01-15,CUST0102,Affluent,Savings,Payment,Transport,ATM,275.98,Port Elizabeth,2025,1,January,2025-01
TXN000020,2025-03-16,CUST0281,Affluent,Current,Transfer,Groceries,ATM,291.21,Durban,2025,3,March,2025-03
TXN000021,2025-08-30,CUST0098,Premium,Current,Transfer,Travel,Mobile,1382.7,Johannesburg,2025,8,August,2025-08
TXN000022,2025-11-12,CUST0424,Affluent,Credit,Purchase,Transport,Card,42.34,Stellenbosch,2025,11,November,2025-11
TXN000023,2025-05-12,CUST0134,Mass Market,Credit,Transfer,Dining,Branch,388.17,Johannesburg,2025,5,May,2025-05
TXN000024,2025-11-08,CUST0462,Mass Market,Current,Deposit,Healthcare,Card,799.88,Johannesburg,2025,11,November,2025-11
TXN000025,2025-05-28,CUST0100,Affluent,Savings,Transfer,Utilities,Card,777.27,Pretoria,2025,5,May,2025-05
TXN000026,2025-01-25,CUST0182,Mass Market,Current,Transfer,Healthcare,Branch,345.03,Pretoria,2025,1,January,2025-01
TXN000027,2025-08-23,CUST0022,Mass Market,Savings,Purchase,Transport,Mobile,34.06,Stellenbosch,2025,8,August,2025-08
TXN000028,2025-11-02,CUST0098,Premium,Current,Deposit,Groceries,Branch,1275.2,Johannesburg,2025,11,November,2025-11
TXN000029,2025-10-22,CUST0326,Mass Market,Current,Transfer,Dining,ATM,580.33,Pretoria,2025,10,October,2025-10
TXN000030,2025-08-08,CUST0188,Mass Market,Current,Purchase,Subscriptions,ATM,31.85,Johannesburg,2025,8,August,2025-08
TXN000031,2025-05-04,CUST0004,Mass Market,Current,Deposit,Healthcare,Online,399.62,Cape Town,2025,5,May,2025-05
TXN000032,2025-12-07,CUST0498,Mass Market,Savings,Purchase,Education,ATM,91.72,Johannesburg,2025,12,December,2025-12
TXN000033,2025-02-04,CUST0159,Affluent,Savings,Deposit,Education,Branch,555.42,Durban,2025,2,February,2025-02
TXN000034,2025-09-17,CUST0005,Mass Market,Savings,Deposit,Groceries,Mobile,2523.32,Cape Town,2025,9,September,2025-09
TXN000035,2025-08-29,CUST0472,Mass Market,Current,Purchase,Healthcare,ATM,57.6,Pretoria,2025,8,August,2025-08
TXN000036,2025-05-10,CUST0028,Affluent,Current,Purchase,Shopping,Card,189.34,Port Elizabeth,2025,5,May,2025-05
TXN000037,2025-06-26,CUST0102,Affluent,Savings,Transfer,Transport,Branch,579.71,Port Elizabeth,2025,6,June,2025-06
TXN000038,2025-06-20,CUST0433,Mass Market,Current,Transfer,Groceries,ATM,568.62,Port Elizabeth,2025,6,June,2025-06
TXN000039,2025-10-07,CUST0428,Affluent,Credit,Payment,Dining,Mobile,200.64,Pretoria,2025,10,October,2025-10
TXN000040,2025-12-23,CUST0387,Mass Market,Current,Withdrawal,Dining,Online,109.61,Stellenbosch,2025,12,December,2025-12
TXN000041,2025-02-02,CUST0351,Affluent,Current,Withdrawal,Groceries,ATM,78.72,Pretoria,2025,2,February,2025-02
TXN000042,2025-04-14,CUST0106,Mass Market,Current,Purchase,Entertainment,Card,46.07,Stellenbosch,2025,4,April,2025-04
TXN000043,2025-06-11,CUST0095,Mass Market,Savings,Payment,Education,Mobile,123.63,Pretoria,2025,6,June,2025-06
TXN000044,2025-10-06,CUST0253,Premium,Current,Withdrawal,Utilities,Card,173.05,Stellenbosch,2025,10,October,2025-10
TXN000045,2025-11-28,CUST0478,Mass Market,Credit,Transfer,Utilities,ATM,507.62,Durban,2025,11,November,2025-11
TXN000046,2025-01-25,CUST0442,Mass Market,Credit,Payment,Utilities,Card,119.82,Cape Town,2025,1,January,2025-01
TXN000047,2025-07-08,CUST0084,Mass Market,Credit,Withdrawal,Healthcare,Mobile,55.7,Stellenbosch,2025,7,July,2025-07
TXN000048,2025-07-17,CUST0373,Mass Market,Savings,Payment,Dining,Mobile,173.66,Johannesburg,2025,7,July,2025-07
TXN000049,2025-12-21,CUST0103,Mass Market,Savings,Withdrawal,Shopping,Branch,71.49,Stellenbosch,2025,12,December,2025-12
TXN000050,2025-05-17,CUST0449,Mass Market,Current,Purchase,Healthcare,Card,57.34,Cape Town,2025,5,May,2025-05
TXN000051,2025-08-09,CUST0068,Affluent,Current,Deposit,Dining,Branch,1014.6,Durban,2025,8,August,2025-08
TXN000052,2025-05-31,CUST0466,Mass Market,Credit,Payment,Transport,Card,89.23,Stellenbosch,2025,5,May,2025-05
TXN000053,2025-06-17,CUST0361,Mass Market,Current,Payment,Utilities,Mobile,90.4,Pretoria,2025,6,June,2025-06
TXN000054,2025-11-05,CUST0477,Affluent,Current,Withdrawal,Dining,Mobile,62.61,Durban,2025,11,November,2025-11
TXN000055,2025-06-29,CUST0113,Mass Market,Savings,Withdrawal,Groceries,ATM,80.86,Stellenbosch,2025,6,June,2025-06
TXN000056,2025-11-11,CUST0476,Affluent,Current,Withdrawal,Utilities,Card,118.58,Stellenbosch,2025,11,November,2025-11
TXN000057,2025-02-08,CUST0364,Mass Market,Current,Withdrawal,Shopping,Branch,21.58,Cape Town,2025,2,February,2025-02
TXN000058,2025-12-14,CUST0464,Mass Market,Credit,Transfer,Groceries,Online,320.03,Port Elizabeth,2025,12,December,2025-12
TXN000059,2025-11-08,CUST0071,Mass Market,Current,Withdrawal,Groceries,Online,93.05,Cape Town,2025,11,November,2025-11
TXN000060,2025-02-04,CUST0466,Mass Market,Credit,Transfer,Shopping,ATM,755.9,Stellenbosch,2025,2,February,2025-02
TXN000061,2025-07-16,CUST0451,Mass Market,Savings,Deposit,Groceries,Branch,3964.75,Pretoria,2025,7,July,2025-07
TXN000062,2025-03-20,CUST0163,Affluent,Savings,Withdrawal,Shopping,ATM,75.47,Cape Town,2025,3,March,2025-03
TXN000063,2025-08-16,CUST0320,Affluent,Savings,Purchase,Subscriptions,Online,66.65,Durban,2025,8,August,2025-08
TXN000064,2025-09-29,CUST0426,Affluent,Savings,Payment,Healthcare,ATM,115.86,Port Elizabeth,2025,9,September,2025-09
TXN000065,2025-11-29,CUST0415,Affluent,Savings,Payment,Entertainment,Card,100.92,Stellenbosch,2025,11,November,2025-11
TXN000066,2025-01-14,CUST0148,Affluent,Credit,Transfer,Travel,Branch,785.32,Stellenbosch,2025,1,January,2025-01
TXN000067,2025-07-18,CUST0356,Premium,Current,Deposit,Transport,ATM,440.75,Pretoria,2025,7,July,2025-07
TXN000068,2025-05-14,CUST0007,Mass Market,Current,Withdrawal,Entertainment,Branch,141.92,Stellenbosch,2025,5,May,2025-05
TXN000069,2025-05-27,CUST0277,Mass Market,Savings,Withdrawal,Entertainment,Card,158.16,Port Elizabeth,2025,5,May,2025-05
TXN000070,2025-03-11,CUST0160,Mass Market,Savings,Purchase,Travel,Online,69.94,Johannesburg,2025,3,March,2025-03
TXN000071,2025-08-16,CUST0065,Mass Market,Credit,Purchase,Shopping,ATM,13.68,Stellenbosch,2025,8,August,2025-08
TXN000072,2025-12-30,CUST0230,Mass Market,Current,Purchase,Education,Branch,12.78,Port Elizabeth,2025,12,December,2025-12
TXN000073,2025-05-29,CUST0312,Mass Market,Credit,Payment,Dining,Online,209.31,Pretoria,2025,5,May,2025-05
TXN000074,2025-07-05,CUST0364,Mass Market,Current,Deposit,Entertainment,Card,596.6,Cape Town,2025,7,July,2025-07
TXN000075,2025-04-13,CUST0250,Mass Market,Current,Transfer,Entertainment,Mobile,503.73,Stellenbosch,2025,4,April,2025-04
TXN000076,2025-01-14,CUST0297,Premium,Current,Payment,Education,Branch,115.8,Stellenbosch,2025,1,January,2025-01
TXN000077,2025-07-08,CUST0192,Mass Market,Current,Withdrawal,Education,Online,92.67,Pretoria,2025,7,July,2025-07
TXN000078,2025-11-10,CUST0318,Mass Market,Current,Purchase,Transport,ATM,22.18,Port Elizabeth,2025,11,November,2025-11
TXN000079,2025-07-23,CUST0037,Mass Market,Savings,Withdrawal,Education,Mobile,100.79,Durban,2025,7,July,2025-07
TXN000080,2025-07-29,CUST0433,Mass Market,Current,Deposit,Transport,Online,230.85,Port Elizabeth,2025,7,July,2025-07
TXN000081,2025-06-12,CUST0381,Premium,Savings,Purchase,Travel,Mobile,39.16,Cape Town,2025,6,June,2025-06
TXN000082,2025-12-15,CUST0340,Mass Market,Savings,Deposit,Shopping,Online,778.19,Cape Town,2025,12,December,2025-12
TXN000083,2025-10-10,CUST0457,Affluent,Savings,Deposit,Dining,Online,556.07,Johannesburg,2025,10,October,2025-10
TXN000084,2025-08-10,CUST0270,Mass Market,Current,Deposit,Groceries,Card,1124.65,Stellenbosch,2025,8,August,2025-08
TXN000085,2025-09-23,CUST0045,Mass Market,Savings,Transfer,Utilities,Online,394.15,Stellenbosch,2025,9,September,2025-09
TXN000086,2025-03-24,CUST0103,Mass Market,Savings,Payment,Entertainment,ATM,85.88,Stellenbosch,2025,3,March,2025-03
TXN000087,2025-09-23,CUST0412,Premium,Savings,Payment,Transport,ATM,64.15,Durban,2025,9,September,2025-09
TXN000088,2025-04-11,CUST0394,Mass Market,Current,Deposit,Utilities,Online,107.37,Durban,2025,4,April,2025-04
TXN000089,2025-11-17,CUST0402,Mass Market,Current,Payment,Subscriptions,Branch,239.5,Johannesburg,2025,11,November,2025-11
TXN000090,2025-02-17,CUST0200,Mass Market,Current,Deposit,Dining,Branch,4188.19,Cape Town,2025,2,February,2025-02
TXN000091,2025-10-25,CUST0315,Affluent,Current,Transfer,Dining,Branch,279.52,Port Elizabeth,2025,10,October,2025-10
TXN000092,2025-11-06,CUST0420,Mass Market,Savings,Payment,Subscriptions,Card,101.32,Johannesburg,2025,11,November,2025-11
TXN000093,2025-01-15,CUST0491,Premium,Savings,Purchase,Groceries,Branch,62.84,Durban,2025,1,January,2025-01
TXN000094,2025-05-16,CUST0403,Mass Market,Savings,Transfer,Subscriptions,Mobile,399.44,Stellenbosch,2025,5,May,2025-05
TXN000095,2025-11-13,CUST0226,Mass Market,Savings,Purchase,Travel,Branch,38.03,Johannesburg,2025,11,November,2025-11
TXN000096,2025-05-29,CUST0209,Mass Market,Savings,Payment,Travel,Online,132.07,Port Elizabeth,2025,5,May,2025-05
TXN000097,2025-12-17,CUST0094,Affluent,Current,Withdrawal,Utilities,Mobile,62.51,Pretoria,2025,12,December,2025-12
TXN000098,2025-02-07,CUST0146,Mass Market,Current,Purchase,Dining,Mobile,39.18,Johannesburg,2025,2,February,2025-02
TXN000099,2025-08-01,CUST0135,Mass Market,Credit,Withdrawal,Travel,Online,68.65,Cape Town,2025,8,August,2025-08
TXN000100,2025-06-24,CUST0022,Mass Market,Savings,Deposit,Dining,ATM,506.36,Stellenbosch,2025,6,June,2025-06
TXN000101,2025-06-13,CUST0235,Mass Market,Savings,Payment,Healthcare,Online,264.42,Pretoria,2025,6,June,2025-06
TXN000102,2025-07-09,CUST0275,Affluent,Savings,Deposit,Education,Card,373.85,Johannesburg,2025,7,July,2025-07
TXN000103,2025-06-13,CUST0460,Premium,Current,Transfer,Travel,Card,722.38,Port Elizabeth,2025,6,June,2025-06
TXN000104,2025-05-17,CUST0199,Mass Market,Current,Withdrawal,Entertainment,Online,144.0,Johannesburg,2025,5,May,2025-05
TXN000105,2025-02-19,CUST0458,Mass Market,Current,Purchase,Utilities,Mobile,111.01,Stellenbosch,2025,2,February,2025-02
TXN000106,2025-11-12,CUST0217,Mass Market,Savings,Withdrawal,Entertainment,Online,139.12,Stellenbosch,2025,11,November,2025-11
TXN000107,2025-06-17,CUST0200,Mass Market,Current,Deposit,Shopping,Online,1063.45,Cape Town,2025,6,June,2025-06
TXN000108,2025-03-23,CUST0211,Affluent,Current,Withdrawal,Education,Mobile,97.6,Durban,2025,3,March,2025-03
TXN000109,2025-09-13,CUST0100,Affluent,Savings,Payment,Travel,Card,240.62,Pretoria,2025,9,September,2025-09
TXN000110,2025-02-16,CUST0143,Premium,Savings,Withdrawal,Education,Mobile,65.33,Port Elizabeth,2025,2,February,2025-02
TXN000111,2025-05-04,CUST0180,Mass Market,Current,Transfer,Subscriptions,ATM,464.19,Stellenbosch,2025,5,May,2025-05
TXN000112,2025-01-25,CUST0236,Mass Market,Savings,Purchase,Utilities,Mobile,47.96,Port Elizabeth,2025,1,January,2025-01
TXN000113,2025-11-02,CUST0106,Mass Market,Current,Withdrawal,Utilities,Branch,98.57,Stellenbosch,2025,11,November,2025-11
TXN000114,2025-01-05,CUST0237,Mass Market,Current,Purchase,Healthcare,Online,33.03,Durban,2025,1,January,2025-01
TXN000115,2025-05-16,CUST0372,Premium,Savings,Payment,Healthcare,ATM,72.09,Stellenbosch,2025,5,May,2025-05
TXN000116,2025-01-24,CUST0013,Mass Market,Current,Withdrawal,Groceries,Branch,132.79,Durban,2025,1,January,2025-01
TXN000117,2025-10-15,CUST0299,Mass Market,Savings,Transfer,Shopping,Branch,483.5,Cape Town,2025,10,October,2025-10
TXN000118,2025-05-28,CUST0104,Mass Market,Savings,Purchase,Healthcare,Branch,44.64,Johannesburg,2025,5,May,2025-05
TXN000119,2025-08-19,CUST0195,Mass Market,Current,Deposit,Utilities,Branch,447.76,Cape Town,2025,8,August,2025-08
TXN000120,2025-12-15,CUST0012,Affluent,Savings,Deposit,Transport,Online,1219.51,Port Elizabeth,2025,12,December,2025-12
TXN000121,2025-02-19,CUST0288,Mass Market,Current,Withdrawal,Shopping,ATM,111.22,Pretoria,2025,2,February,2025-02
TXN000122,2025-10-13,CUST0081,Premium,Savings,Payment,Dining,Online,196.46,Pretoria,2025,10,October,2025-10
TXN000123,2025-11-05,CUST0286,Mass Market,Current,Deposit,Healthcare,Branch,413.12,Stellenbosch,2025,11,November,2025-11
TXN000124,2025-01-21,CUST0328,Mass Market,Current,Purchase,Groceries,Online,35.26,Durban,2025,1,January,2025-01
TXN000125,2025-06-20,CUST0393,Mass Market,Savings,Withdrawal,Education,Mobile,168.31,Stellenbosch,2025,6,June,2025-06
TXN000126,2025-03-18,CUST0084,Mass Market,Credit,Deposit,Education,Online,1150.41,Stellenbosch,2025,3,March,2025-03
TXN000127,2025-06-17,CUST0165,Mass Market,Current,Deposit,Shopping,Online,238.39,Johannesburg,2025,6,June,2025-06
TXN000128,2025-07-21,CUST0310,Mass Market,Savings,Deposit,Utilities,Branch,366.9,Port Elizabeth,2025,7,July,2025-07
TXN000129,2025-06-22,CUST0348,Affluent,Current,Deposit,Education,Branch,576.74,Cape Town,2025,6,June,2025-06
TXN000130,2025-09-08,CUST0011,Mass Market,Current,Deposit,Utilities,Mobile,366.53,Pretoria,2025,9,September,2025-09
TXN000131,2025-01-09,CUST0230,Mass Market,Current,Payment,Shopping,Card,274.21,Port Elizabeth,2025,1,January,2025-01
TXN000132,2025-08-02,CUST0420,Mass Market,Savings,Deposit,Utilities,Card,565.48,Johannesburg,2025,8,August,2025-08
TXN000133,2025-11-02,CUST0396,Mass Market,Current,Withdrawal,Utilities,Branch,69.57,Stellenbosch,2025,11,November,2025-11
TXN000134,2025-10-23,CUST0172,Mass Market,Savings,Transfer,Groceries,Branch,489.28,Port Elizabeth,2025,10,October,2025-10
TXN000135,2025-09-03,CUST0045,Mass Market,Savings,Transfer,Education,Branch,549.19,Stellenbosch,2025,9,September,2025-09
TXN000136,2025-07-14,CUST0049,Mass Market,Credit,Transfer,Entertainment,Card,475.53,Pretoria,2025,7,July,2025-07
TXN000137,2025-10-21,CUST0268,Mass Market,Current,Purchase,Entertainment,Card,61.92,Pretoria,2025,10,October,2025-10
TXN000138,2025-08-14,CUST0285,Affluent,Current,Payment,Healthcare,Online,106.15,Stellenbosch,2025,8,August,2025-08
TXN000139,2025-07-31,CUST0372,Premium,Savings,Transfer,Healthcare,Branch,1067.25,Stellenbosch,2025,7,July,2025-07
TXN000140,2025-11-10,CUST0119,Affluent,Current,Withdrawal,Groceries,Online,165.97,Stellenbosch,2025,11,November,2025-11
TXN000141,2025-09-23,CUST0115,Premium,Savings,Transfer,Education,ATM,80.73,Pretoria,2025,9,September,2025-09
TXN000142,2025-12-06,CUST0056,Premium,Savings,Withdrawal,Education,Mobile,96.31,Port Elizabeth,2025,12,December,2025-12
TXN000143,2025-06-10,CUST0300,Mass Market,Savings,Transfer,Travel,Branch,384.98,Durban,2025,6,June,2025-06
TXN000144,2025-06-25,CUST0495,Premium,Credit,Deposit,Shopping,ATM,2812.29,Cape Town,2025,6,June,2025-06
TXN000145,2025-11-09,CUST0372,Premium,Savings,Withdrawal,Entertainment,Online,105.71,Stellenbosch,2025,11,November,2025-11
TXN000146,2025-05-23,CUST0407,Affluent,Savings,Deposit,Utilities,Online,636.28,Stellenbosch,2025,5,May,2025-05
TXN000147,2025-06-02,CUST0219,Mass Market,Current,Payment,Entertainment,Mobile,200.63,Johannesburg,2025,6,June,2025-06
TXN000148,2025-06-12,CUST0153,Affluent,Credit,Withdrawal,Shopping,Branch,35.34,Port Elizabeth,2025,6,June,2025-06
TXN000149,2025-05-21,CUST0058,Affluent,Current,Payment,Transport,Branch,130.25,Stellenbosch,2025,5,May,2025-05
TXN000150,2025-12-13,CUST0409,Affluent,Current,Deposit,Healthcare,Mobile,294.69,Durban,2025,12,December,2025-12
TXN000151,2025-06-26,CUST0494,Affluent,Savings,Transfer,Utilities,Card,152.74,Port Elizabeth,2025,6,June,2025-06
TXN000152,2025-05-28,CUST0122,Affluent,Credit,Purchase,Shopping,Mobile,104.63,Johannesburg,2025,5,May,2025-05
TXN000153,2025-12-02,CUST0206,Mass Market,Credit,Payment,Travel,Online,105.24,Durban,2025,12,December,2025-12
TXN000154,2025-04-14,CUST0025,Mass Market,Savings,Deposit,Utilities,Branch,313.75,Cape Town,2025,4,April,2025-04
TXN000155,2025-12-23,CUST0451,Mass Market,Savings,Payment,Dining,Card,243.32,Pretoria,2025,12,December,2025-12
TXN000156,2025-11-12,CUST0032,Mass Market,Savings,Deposit,Entertainment,Online,982.92,Durban,2025,11,November,2025-11
TXN000157,2025-01-26,CUST0450,Affluent,Savings,Deposit,Entertainment,Online,766.49,Stellenbosch,2025,1,January,2025-01
TXN000158,2025-01-27,CUST0121,Affluent,Credit,Purchase,Healthcare,ATM,283.69,Johannesburg,2025,1,January,2025-01
TXN000159,2025-08-30,CUST0329,Mass Market,Savings,Purchase,Dining,Card,78.33,Johannesburg,2025,8,August,2025-08
TXN000160,2025-10-09,CUST0470,Mass Market,Current,Transfer,Healthcare,Mobile,96.53,Cape Town,2025,10,October,2025-10
TXN000161,2025-09-02,CUST0331,Affluent,Current,Transfer,Utilities,ATM,1792.01,Stellenbosch,2025,9,September,2025-09
TXN000162,2025-05-27,CUST0153,Affluent,Credit,Purchase,Transport,Branch,40.23,Port Elizabeth,2025,5,May,2025-05
TXN000163,2025-04-29,CUST0474,Affluent,Savings,Deposit,Groceries,Online,419.31,Durban,2025,4,April,2025-04
TXN000164,2025-08-02,CUST0471,Mass Market,Current,Transfer,Groceries,Mobile,333.56,Durban,2025,8,August,2025-08
TXN000165,2025-09-11,CUST0069,Mass Market,Savings,Transfer,Utilities,Card,2987.89,Port Elizabeth,2025,9,September,2025-09
TXN000166,2025-01-05,CUST0450,Affluent,Savings,Payment,Subscriptions,Branch,103.67,Stellenbosch,2025,1,January,2025-01
TXN000167,2025-02-24,CUST0142,Mass Market,Current,Payment,Utilities,Mobile,216.39,Port Elizabeth,2025,2,February,2025-02
TXN000168,2025-11-25,CUST0073,Mass Market,Current,Deposit,Education,Mobile,851.94,Durban,2025,11,November,2025-11
TXN000169,2025-03-10,CUST0325,Affluent,Current,Deposit,Travel,ATM,396.03,Port Elizabeth,2025,3,March,2025-03
TXN000170,2025-04-09,CUST0143,Premium,Savings,Purchase,Shopping,Online,204.17,Port Elizabeth,2025,4,April,2025-04
TXN000171,2025-08-23,CUST0267,Mass Market,Savings,Payment,Dining,Card,154.38,Pretoria,2025,8,August,2025-08
TXN000172,2025-06-22,CUST0016,Mass Market,Current,Payment,Subscriptions,Online,127.68,Port Elizabeth,2025,6,June,2025-06
TXN000173,2025-03-31,CUST0497,Mass Market,Current,Deposit,Healthcare,Mobile,267.57,Johannesburg,2025,3,March,2025-03
TXN000174,2025-09-21,CUST0129,Mass Market,Savings,Payment,Transport,Mobile,96.38,Johannesburg,2025,9,September,2025-09
TXN000175,2025-12-09,CUST0169,Affluent,Savings,Purchase,Dining,Online,22.84,Stellenbosch,2025,12,December,2025-12
TXN000176,2025-09-02,CUST0049,Mass Market,Credit,Payment,Entertainment,Card,300.7,Pretoria,2025,9,September,2025-09
TXN000177,2025-05-14,CUST0419,Mass Market,Current,Withdrawal,Entertainment,Mobile,139.06,Pretoria,2025,5,May,2025-05
TXN000178,2025-05-17,CUST0251,Affluent,Savings,Payment,Utilities,Branch,264.4,Stellenbosch,2025,5,May,2025-05
TXN000179,2025-10-21,CUST0267,Mass Market,Savings,Purchase,Utilities,ATM,13.38,Pretoria,2025,10,October,2025-10
TXN000180,2025-12-21,CUST0234,Affluent,Current,Transfer,Groceries,Card,1967.45,Pretoria,2025,12,December,2025-12
TXN000181,2025-08-27,CUST0462,Mass Market,Current,Payment,Dining,Mobile,238.41,Johannesburg,2025,8,August,2025-08
TXN000182,2025-12-18,CUST0078,Mass Market,Current,Deposit,Utilities,Card,1221.69,Johannesburg,2025,12,December,2025-12
TXN000183,2025-11-24,CUST0462,Mass Market,Current,Payment,Shopping,Branch,105.01,Johannesburg,2025,11,November,2025-11
TXN000184,2025-04-24,CUST0146,Mass Market,Current,Transfer,Dining,Mobile,589.27,Johannesburg,2025,4,April,2025-04
TXN000185,2025-03-20,CUST0091,Mass Market,Savings,Withdrawal,Subscriptions,ATM,192.91,Stellenbosch,2025,3,March,2025-03
TXN000186,2025-08-01,CUST0254,Premium,Current,Deposit,Travel,Branch,193.75,Stellenbosch,2025,8,August,2025-08
TXN000187,2025-12-07,CUST0361,Mass Market,Current,Transfer,Entertainment,Branch,176.53,Pretoria,2025,12,December,2025-12
TXN000188,2025-02-11,CUST0186,Mass Market,Current,Deposit,Travel,Branch,2467.89,Pretoria,2025,2,February,2025-02
TXN000189,2025-12-27,CUST0353,Mass Market,Savings,Payment,Transport,Branch,299.43,Pretoria,2025,12,December,2025-12
TXN000190,2025-02-27,CUST0383,Premium,Current,Purchase,Education,Branch,59.23,Pretoria,2025,2,February,2025-02
TXN000191,2025-04-14,CUST0162,Mass Market,Savings,Deposit,Education,Online,160.8,Cape Town,2025,4,April,2025-04
TXN000192,2025-03-26,CUST0201,Mass Market,Current,Payment,Education,Mobile,92.44,Port Elizabeth,2025,3,March,2025-03
TXN000193,2025-03-01,CUST0224,Mass Market,Current,Transfer,Subscriptions,Mobile,141.63,Pretoria,2025,3,March,2025-03
TXN000194,2025-02-16,CUST0315,Affluent,Current,Deposit,Travel,Card,479.0,Port Elizabeth,2025,2,February,2025-02
TXN000195,2025-08-21,CUST0061,Mass Market,Current,Transfer,Education,Mobile,75.49,Port Elizabeth,2025,8,August,2025-08
TXN000196,2025-08-22,CUST0252,Mass Market,Savings,Deposit,Groceries,Branch,1242.77,Durban,2025,8,August,2025-08
TXN000197,2025-08-25,CUST0207,Mass Market,Savings,Payment,Groceries,Mobile,164.51,Cape Town,2025,8,August,2025-08
TXN000198,2025-05-11,CUST0050,Mass Market,Current,Purchase,Entertainment,Branch,48.15,Stellenbosch,2025,5,May,2025-05
TXN000199,2025-02-07,CUST0160,Mass Market,Savings,Purchase,Healthcare,ATM,74.38,Johannesburg,2025,2,February,2025-02
TXN000200,2025-12-25,CUST0271,Mass Market,Current,Purchase,Education,Card,197.25,Pretoria,2025,12,December,2025-12
TXN000201,2025-02-05,CUST0197,Mass Market,Current,Withdrawal,Groceries,ATM,41.87,Port Elizabeth,2025,2,February,2025-02
TXN000202,2025-07-29,CUST0108,Affluent,Current,Transfer,Dining,Mobile,219.22,Durban,2025,7,July,2025-07
TXN000203,2025-07-11,CUST0232,Mass Market,Savings,Withdrawal,Travel,Mobile,52.01,Durban,2025,7,July,2025-07
TXN000204,2025-07-12,CUST0419,Mass Market,Current,Purchase,Education,Online,22.74,Pretoria,2025,7,July,2025-07
TXN000205,2025-12-01,CUST0467,Affluent,Credit,Payment,Transport,Online,380.51,Pretoria,2025,12,December,2025-12
TXN000206,2025-10-03,CUST0393,Mass Market,Savings,Withdrawal,Education,Online,96.59,Stellenbosch,2025,10,October,2025-10
TXN000207,2025-04-25,CUST0025,Mass Market,Savings,Purchase,Groceries,ATM,29.36,Cape Town,2025,4,April,2025-04
TXN000208,2025-08-26,CUST0472,Mass Market,Current,Deposit,Healthcare,Branch,288.55,Pretoria,2025,8,August,2025-08
TXN000209,2025-07-14,CUST0297,Premium,Current,Transfer,Entertainment,Mobile,187.57,Stellenbosch,2025,7,July,2025-07
TXN000210,2025-06-27,CUST0270,Mass Market,Current,Transfer,Utilities,Online,182.78,Stellenbosch,2025,6,June,2025-06
TXN000211,2025-02-27,CUST0469,Mass Market,Current,Purchase,Healthcare,Branch,50.23,Port Elizabeth,2025,2,February,2025-02
TXN000212,2025-01-09,CUST0167,Affluent,Savings,Transfer,Entertainment,Card,842.52,Stellenbosch,2025,1,January,2025-01
TXN000213,2025-02-21,CUST0262,Affluent,Credit,Deposit,Groceries,Mobile,2600.05,Port Elizabeth,2025,2,February,2025-02
TXN000214,2025-11-03,CUST0187,Affluent,Savings,Purchase,Entertainment,Card,73.36,Port Elizabeth,2025,11,November,2025-11
